instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,mixed_type_col
4213,2011-06-29,3,0,6,10,0,3,1,1,0.74,,0.42,0.2836,31,95,126,556
4214,2011-06-29,3,0,6,11,379,3,1,1,0.76,0.6667,0.35,8.2843,53,117,170,65
4215,2011-06-29,3,0,6,12,0,3,1,1,0.76,0.6667,0.35,0.2537,55,188,243,
4216,2011-06-29,3,0,6,13,0,3,1,1,0.8,0.697,0.31,722.3284,45,186,231,
4217,2011-06-29,3,0,6,14,0,3,1,1,0.8,0.697,0.31,0.194,50,138,188,107
4218,2011-06-29,3,0,6,15,0,3,1,1,0.82,0.7121,0.3,,43,146,189,153
4219,2011-06-29,3,0,6,16,,3,1,1,0.82,0.7121,0.3,0.4179,60,268,328,
4220,2011-06-29,3,0,6,17,0,3,1,1,0.82,0.7121,0.26,0.4179,78,492,570,
4221,2011-06-29,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,78,510,588,984
4222,2011-06-29,3,0,6,19,0,3,1,1,0.76,0.6667,0.35,0.3881,60,341,401,413
4223,2011-06-29,3,0,6,20,0,3,1,1,0.74,0.6515,0.37,0.2985,69,264,333,313
4224,2011-06-29,3,0,6,21,0,3,1,1,0.72,0.6515,0.39,0.2239,26,195,221,
4225,2011-06-29,3,0,6,22,0,3,1,1,0.7,0.6364,0.42,0.194,32,151,183,54
4226,2011-06-29,3,0,6,23,0,3,1,1,0.68,0.6364,0.47,,32,97,129,477
4227,2011-06-30,3,0,6,0,0,4,1,1,0.66,0.6212,0.5,0.1642,15,39,54,
4228,2011-06-30,3,0,6,1,0,4,1,1,0.64,0.6212,0.53,0.1343,13,19,32,89
4229,2011-06-30,3,0,6,2,0,4,1,1,0.62,0.6212,0.57,0.1343,2,6,8,
4230,2011-06-30,3,0,6,3,0,4,1,1,0.6,0.6061,0.6,0.1642,2,7,9,198
4231,2011-06-30,3,0,6,4,0,4,1,1,0.58,0.5455,0.64,5.1034,2,4,6,
4232,2011-06-30,3,0,6,5,0,4,1,1,0.58,708.5455,0.64,0.2537,1,24,25,124
4233,2011-06-30,3,0,6,6,0,4,1,1,0.6,0.6061,0.64,0.2537,4,119,123,
4234,2011-06-30,3,0,6,7,0,4,1,1,0.62,0.6061,0.61,0.2239,29,291,320,160
4235,2011-06-30,3,0,6,8,0,4,1,1,0.68,0.6364,0.47,0.2239,44,511,555,114
4236,2011-06-30,3,0,6,9,0,4,1,1,0.7,0.6364,0.42,0.2239,33,227,260,311
4237,2011-06-30,3,0,6,10,0,4,1,1,0.72,0.6515,0.42,0.194,35,97,132,
4238,2011-06-30,3,0,6,11,0,4,1,1,0.74,0.6515,0.37,0.1343,47,122,169,692
4239,2011-06-30,3,0,6,12,0,4,1,1,0.76,0.6667,0.35,0.1642,50,183,233,341
4240,2011-06-30,3,0,6,13,0,4,1,1,0.76,0.6667,0.33,0.194,70,162,232,596
4241,2011-06-30,3,0,6,14,0,4,1,1,0.78,0.6818,0.31,0.194,46,117,163,386
4242,2011-06-30,3,0,6,15,0,4,1,1,0.78,0.6667,0.25,0.2537,64,176,240,501
4243,2011-06-30,3,0,6,16,0,4,1,1,0.8,0.697,0.26,0.1343,63,260,323,29
4244,2011-06-30,3,0,6,17,0,4,1,1,,0.6818,0.27,0.3582,98,496,594,484
4245,2011-06-30,3,0,6,18,0,4,1,1,0.76,0.6667,0.29,0.2537,114,472,586,460
4246,2011-06-30,3,0,6,19,0,3,1,1,0.74,0.6515,0.33,0.194,89,366,455,
4247,2011-06-30,3,0,6,20,0,4,1,1,0.74,0.6515,0.33,0.194,55,285,11560,669
4248,2011-06-30,3,0,6,21,0,4,1,1,0.72,0.6515,0.37,0.1045,81,242,323,185
4249,2011-06-30,3,0,6,22,0,4,1,1,0.7,0.6364,0.42,0.1642,43,164,207,996
4250,2011-06-30,3,0,6,23,0,4,1,1,0.66,0.6212,0.5,0.0,27,99,126,543
4251,2011-07-01,3,0,7,0,0,5,1,1,0.66,0.6212,0.5,0.0,20,48,68,610
4252,2011-07-01,3,0,7,1,0,5,1,1,0.66,0.6212,0.5,0.0,15,16,31,965
4253,2011-07-01,3,0,7,2,0,5,1,1,0.62,0.6061,0.69,0.0,6,7,13,
4254,2011-07-01,3,0,7,3,0,5,1,1,0.64,0.6212,0.53,0.0,5,6,671,67
4255,2011-07-01,3,0,7,4,0,5,1,1,0.62,0.6212,0.57,0.0,1,5,6,
4256,2011-07-01,3,0,7,5,0,5,1,1,0.6,0.6061,0.64,0.1343,3,27,30,311
4257,2011-07-01,3,0,7,6,0,5,1,1,0.62,0.6061,0.61,0.1343,11,97,108,31
4258,2011-07-01,3,0,7,7,0,5,1,1,0.66,0.6212,0.54,0.1045,25,218,243,668
4259,2011-07-01,3,0,7,8,,5,1,1,0.7,0.6364,0.42,,39,453,492,25
4260,2011-07-01,3,0,7,9,0,5,1,1,0.74,0.6515,0.35,0.1642,58,202,260,61
4261,2011-07-01,3,0,7,10,0,5,1,1,0.76,0.6667,0.33,0.1642,61,109,170,244
4262,2011-07-01,3,0,7,11,0,5,1,1,0.8,0.697,0.26,0.0,68,146,214,
4263,2011-07-01,3,0,7,12,0,4,1,1,0.8,0.697,0.26,0.0,83,180,263,
4264,2011-07-01,3,0,7,13,0,5,1,1,,0.6818,0.24,0.0,83,209,292,841
4265,2011-07-01,3,0,7,14,0,5,1,1,0.82,0.697,0.23,0.194,78,225,303,805
4266,2011-07-01,3,0,7,15,0,5,1,1,0.82,0.697,0.21,0.2537,82,299,381,943
,2011-07-01,3,0,7,16,0,5,1,1,0.82,0.697,0.17,0.0,85,342,427,386
4268,2011-07-01,3,0,7,17,0,5,1,1,0.82,,0.21,0.194,99,362,461,960
4269,2011-07-01,3,0,7,18,0,5,1,1,0.8,0.6818,0.24,0.2537,98,,422,964
4270,2011-07-01,3,0,7,19,0,5,1,1,0.78,0.6667,0.25,0.194,80,238,318,51
,2011-07-01,3,0,7,20,0,5,1,1,22.32,0.6515,0.42,0.2239,84,185,269,390
4272,2011-07-01,3,0,7,21,0,5,1,1,0.7,0.6364,0.45,0.194,69,149,218,
4273,2011-07-01,3,0,7,22,0,5,1,1,0.7,0.6364,0.42,0.0,49,173,222,459
4274,2011-07-01,3,0,7,23,0,5,1,1,0.68,0.6364,0.47,0.0896,44,96,140,382
4275,2011-07-02,3,0,7,0,0,6,0,1,0.68,0.6364,0.47,0.0896,31,84,115,414
4276,2011-07-02,3,0,7,1,0,6,0,1,0.66,0.6212,0.54,0.0,20,58,78,490
4277,2011-07-02,3,0,7,2,0,6,0,1,0.64,0.6212,0.53,0.0,9,43,52,190
4278,2011-07-02,3,0,7,3,0,6,0,1,0.64,0.6212,0.53,0.0,5,21,26,693
4279,2011-07-02,3,0,7,4,0,6,0,1,0.62,0.6061,0.61,0.0,3,8,11,
4280,2011-07-02,3,0,7,5,0,6,0,1,0.58,0.5455,0.73,0.1045,1,13,14,522
416640,2011-07-02,3,0,7,6,0,6,0,1,0.62,0.6061,0.69,0.1045,11,21,32,412
4282,2011-07-02,3,0,7,7,0,6,0,1,0.64,0.6061,0.65,0.0,10,35,45,
4283,2011-07-02,3,0,7,8,0,6,0,1,0.68,0.6364,0.57,0.0,38,94,132,765
4284,2011-07-02,3,0,7,9,0,6,0,1,0.74,0.6667,,0.0896,55,124,179,161
4285,2011-07-02,3,0,7,10,0,6,0,1,0.8,0.7121,0.36,0.0,103,168,271,844
4286,2011-07-02,3,0,7,11,0,6,0,1,0.8,0.7121,0.36,0.0896,144,213,357,
4287,2011-07-02,3,0,7,12,0,6,0,1,0.82,0.7121,0.3,0.1343,142,232,374,45
4288,2011-07-02,3,0,7,13,0,6,0,1,0.82,0.7121,0.3,0.1045,178,226,404,686
4289,2011-07-02,3,0,7,,0,6,0,1,0.84,0.7121,,0.0,,215,392,309
4290,2011-07-02,3,0,7,15,0,6,0,1,0.86,0.7273,0.19,0.1642,168,163,331,238
4291,2011-07-02,3,0,7,16,0,6,0,1,0.88,0.7424,0.22,0.2239,206,192,398,787
4292,2011-07-02,3,0,7,17,0,6,0,1,0.84,0.7273,0.3,0.2239,179,170,349,388
4293,2011-07-02,3,0,7,1692,0,6,0,1,0.82,0.7121,0.3,0.2836,193,190,383,611
4294,2011-07-02,3,0,7,19,0,6,0,1,0.8,0.697,0.33,0.2239,156,149,305,
4295,2011-07-02,3,0,7,20,0,6,0,1,0.76,0.6818,0.45,0.2836,136,148,284,978
4296,2011-07-02,3,0,7,21,0,6,0,1,169.74,0.6667,0.48,0.194,95,137,232,900
4297,2011-07-02,3,0,7,22,0,6,0,1,0.72,0.6667,0.51,0.1642,78,123,201,
4298,2011-07-02,3,0,7,23,0,6,0,1,0.72,0.6667,0.54,0.2836,66,88,154,
4299,2011-07-03,3,0,7,0,0,0,0,1,0.7,0.6515,,0.2239,47,97,144,458
4300,2011-07-03,3,0,7,1,0,0,0,2,0.7,0.6515,0.61,0.1642,23,55,78,247
4301,2011-07-03,3,0,7,2,0,0,0,1,0.7,53.422999999999995,0.58,0.194,19,50,69,453
4302,2011-07-03,3,0,7,3,0,0,0,3,0.68,0.6364,0.65,0.0896,8,25,33,930
4303,2011-07-03,3,0,7,4,0,0,0,3,0.68,0.6364,0.65,0.0896,3,2,5,
4304,2011-07-03,3,0,7,5,0,0,0,3,0.62,0.5758,710.83,0.194,0,1,1,760
4305,2011-07-03,3,0,7,6,0,0,0,2,0.62,0.5455,0.94,0.0896,0,3,3,959
4306,2011-07-03,3,0,7,7,0,0,0,2,0.64,0.5758,0.89,0.194,3,22,25,782
4307,2011-07-03,3,0,7,8,0,0,0,1,0.68,0.6364,0.79,0.2239,39,53,92,298
4308,2011-07-03,3,0,7,9,0,0,0,1,0.7,0.6667,0.74,0.2537,82,99,181,25
4309,2011-07-03,3,0,7,10,0,0,0,1,0.74,0.697,,0.1642,131,133,264,
4310,,3,0,,11,0,0,0,1,0.76,0.7121,0.62,0.1045,215,175,390,
4311,2011-07-03,3,0,7,12,0,0,0,1,0.8,0.7576,0.55,0.1045,198,206,404,158
4312,2011-07-03,3,0,7,13,0,0,0,1,0.8,0.7727,0.59,0.2239,248,173,421,774
4313,2011-07-03,3,0,7,14,0,0,0,1,0.82,0.7879,0.56,0.2537,225,150,375,723
4314,2011-07-03,3,0,7,15,0,0,0,1,0.84,0.803,0.53,0.2985,194,182,376,
4315,2011-07-03,3,0,7,16,0,0,0,1,0.84,0.803,0.53,0.2985,195,219,414,514
4316,2011-07-03,3,0,7,17,0,0,0,3,0.8,0.7424,0.49,0.8507,181,177,358,
4317,2011-07-03,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,74,107,181,40
4318,2011-07-03,3,0,7,19,,0,0,2,0.66,0.6061,0.83,0.194,100,83,183,317
4319,2011-07-03,3,0,7,20,0,0,0,3,0.66,0.6061,0.83,0.0,83,93,176,378
4320,2011-07-03,3,0,7,21,0,0,0,2,0.66,0.6061,0.83,0.1642,75,,,123
4321,2011-07-03,3,0,7,22,0,0,0,2,0.66,0.6061,0.78,0.1045,,93,162,685
4322,2011-07-03,3,0,7,23,0,0,0,1,0.64,0.5758,0.83,0.1642,70,77,147,
4323,2011-07-04,3,0,7,0,1,1,0,1,0.64,0.5758,0.83,0.1343,63,77,140,970
4324,2011-07-04,3,0,7,1,1,1,0,1,0.64,0.5758,0.83,0.0896,43,76,119,
4325,2011-07-04,3,0,7,2,1,1,0,1,0.64,0.5758,0.83,0.0,33,30,63,490
4326,2011-07-04,3,0,7,3,1,1,0,1,0.64,0.5909,0.78,0.0,13,13,26,612
,2011-07-04,3,0,7,4,1,1,0,663,0.66,0.6061,0.78,0.0896,8,4,12,443
4328,2011-07-04,3,0,7,5,1,1,0,2,0.64,0.5758,0.83,0.1343,1,3,4,
4329,2011-07-04,3,0,7,6,1,1,0,1,0.64,0.5758,0.89,0.1642,5,11,16,
4330,2011-07-04,3,0,7,7,1,1,0,1,0.66,0.6061,0.83,0.1343,,19,36,925
,2011-07-04,3,0,7,8,1,1,0,1,0.7,0.6667,0.74,0.1045,42,44,86,58
4332,2011-07-04,3,0,7,9,1,1,0,2,0.72,0.6818,0.66,0.0896,142,96,238,770
4333,2011-07-04,3,0,7,10,1,1,0,2,0.76,0.697,0.55,0.0896,166,114,280,467
4334,2011-07-04,3,0,7,11,,1,0,2,0.76,0.697,0.55,0.0896,177,172,349,
4335,2011-07-04,3,0,7,12,1,1,0,2,0.78,0.7121,0.52,0.0,237,210,447,866
4336,2011-07-04,3,0,7,13,1,1,0,2,14.82,0.7121,0.49,0.0,242,181,423,
4337,2011-07-04,3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0.0,235,173,408,558
4338,2011-07-04,3,0,7,15,1,1,0,1,0.82,0.7424,0.43,0.0896,21056,184,408,
4339,2011-07-04,3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0.0,236,216,,850
4340,2011-07-04,3,0,7,17,1,1,0,1,0.8,0.7273,0.46,0.0,,196,436,452
4341,2011-07-04,3,0,7,18,1,1,0,1,0.8,0.7273,,0.1343,222,196,418,607
4342,2011-07-04,3,0,7,19,1,1,0,2,0.78,0.7121,0.49,0.1642,170,205,375,734
4343,2011-07-04,3,0,7,20,1,1,0,2,0.76,0.697,0.55,0.1045,195,191,386,519
4344,2011-07-04,3,0,7,21,1,1,0,2,0.74,0.6818,0.62,0.1045,195,262,457,886
4345,2011-07-04,3,0,7,22,1,1,0,2,0.74,0.6818,0.62,0.1343,115,211,326,94
4346,,3,0,7,23,1,1,0,2,0.72,0.6818,0.7,0.1045,44,94,138,940
4347,2011-07-05,3,0,7,0,0,2,1,2,0.7,0.6515,0.65,0.1642,19,36,55,
4348,2011-07-05,3,0,7,1,0,1,1,1,0.7,0.6515,0.65,0.1045,15,24,39,28
4349,2011-07-05,3,0,7,2,0,2,1,1,0.66,0.6212,0.74,,8,5,13,767
4350,2011-07-05,3,0,7,3,0,2,1,1,0.66,0.6212,0.74,0.2239,1,7,8,
4351,2011-07-05,3,0,7,4,0,2,1,1,0.66,0.6212,0.69,0.1642,1,4,834,982
4352,2011-07-05,3,0,7,5,0,2,1,1,0.66,0.6212,0.69,0.0,1,19,20,656
4353,2011-07-05,3,0,7,6,0,2,1,1,0.66,0.6212,0.74,0.0896,3,91,94,
4354,2011-07-05,3,0,7,7,0,2,1,1,0.7,0.6515,0.65,0.0896,22,248,270,
4355,2011-07-05,3,0,7,8,0,2,1,1,0.72,0.6818,0.62,0.1343,41,391,432,614
4356,2011-07-05,3,0,7,9,0,2,1,1,0.74,0.6818,0.58,0.1343,50,177,227,584
4357,2011-07-05,3,0,7,10,0,2,1,1,0.76,0.697,0.52,0.1045,55,84,139,
4358,2011-07-05,3,0,7,11,0,2,1,1,0.78,0.697,0.46,0.1045,75,97,172,666
4359,2011-07-05,3,0,7,12,,2,1,1,0.8,0.7273,0.43,0.1045,71,130,201,
4360,2011-07-05,3,0,7,,0,2,1,1,0.82,0.7424,0.43,0.1045,67,136,203,917
4361,2011-07-05,3,0,7,14,0,1,1,1,0.8,0.7424,0.49,0.1642,66,112,178,583
4362,2011-07-05,3,0,7,15,0,2,1,1,0.82,0.7424,0.43,,51,111,162,124
4363,2011-07-05,3,0,7,16,0,2,1,1,0.82,0.7576,0.46,0.1045,79,202,281,810
4364,2011-07-05,3,0,7,17,0,2,1,1,0.82,0.7576,0.46,0.1045,79,466,545,635
4365,2011-07-05,3,0,7,18,0,2,1,1,0.8,0.7576,0.55,0.1642,70,426,496,51
4366,2011-07-05,3,0,7,19,0,2,1,1,0.8,0.7727,0.59,0.1343,,297,368,15
4367,2011-07-05,3,0,7,20,0,2,1,1,,0.7273,0.66,0.1045,59,225,284,726
4368,2011-07-05,3,0,7,21,0,2,1,1,0.78,0.7424,0.62,0.2537,77,168,245,949
4369,2011-07-05,3,0,7,22,0,2,1,1,0.76,0.7273,0.66,0.2239,31,124,155,326
4370,2011-07-05,3,0,7,23,,2,1,1,730.74,0.697,0.66,0.1642,19,54,73,182
4371,2011-07-06,3,0,7,0,0,3,1,1,0.72,0.697,0.74,0.194,11,26,37,
4372,2011-07-06,3,0,7,1,0,3,1,1,0.7,0.6667,0.74,0.1343,4,11,15,321
4373,2011-07-06,3,0,7,2,0,3,1,1,0.7,0.6667,0.79,0.0896,1,4,,
4374,2011-07-06,3,0,7,3,0,3,1,,0.7,0.6667,0.79,0.0,0,6,6,797
4375,2011-07-06,3,0,7,4,0,3,1,2,0.68,0.6364,0.83,0.0896,0,6,6,472
4376,,3,0,7,5,0,3,1,1,0.68,0.6364,0.83,0.0896,5,30,35,482
4377,2011-07-06,3,0,7,6,,3,1,1,0.7,0.6667,0.79,0.0896,9,112,121,590
4378,2011-07-06,3,0,7,7,0,3,1,2,0.72,0.697,0.79,0.0,24,288,312,795
4379,2011-07-06,3,0,7,8,0,3,1,2,0.72,0.697,0.74,0.1045,31,397,428,
4380,2011-07-06,3,0,7,9,0,3,1,3,68.6,0.6667,0.79,0.194,31,158,189,359
4381,2011-07-06,3,0,7,10,0,3,1,3,0.7,0.6667,0.79,0.0896,13,30,43,925
4382,2011-07-06,3,0,7,11,0,3,1,2,0.72,0.697,0.74,0.0,1608,103,127,656
4383,2011-07-06,3,0,7,12,0,3,1,2,0.74,0.697,0.66,0.0896,38,114,152,552
4384,2011-07-06,3,0,7,13,0,3,1,2,0.74,0.697,0.7,0.1045,33,107,140,
4385,2011-07-06,3,0,7,14,0,3,1,1,0.76,0.7273,0.66,0.2836,50,113,163,875
4386,2011-07-06,3,0,7,15,0,3,1,1,0.76,0.7273,0.7,0.2836,55,130,185,
4387,2011-07-06,3,0,7,16,0,3,1,1,0.76,0.7273,0.7,0.2537,57,218,275,478
4388,2011-07-06,3,0,7,17,0,3,1,1,0.78,0.7424,0.59,0.2239,79,517,596,11
4389,2011-07-06,3,0,7,18,0,3,1,1,0.76,0.7121,0.62,0.194,77,486,563,403
4390,2011-07-06,3,0,7,19,0,3,1,1,0.74,0.697,0.7,0.2239,71,323,394,442
4391,2011-07-06,3,0,7,20,0,3,1,1,0.72,0.697,0.74,11.4165,55,257,312,818
4392,2011-07-06,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.194,66,175,241,20
4393,2011-07-06,3,0,7,22,0,3,1,1,0.7,0.6667,0.79,0.194,30,156,186,9
4394,2011-07-06,3,0,7,23,0,3,1,1,0.68,0.6364,0.83,0.2239,20,78,98,487
4395,2011-07-07,3,0,7,0,0,4,1,1,0.66,0.5909,51.62,0.1343,6,29,35,365
4396,2011-07-07,3,0,7,1,0,4,1,1,0.66,0.5909,0.89,0.194,2,14,16,738
4397,2011-07-07,3,0,7,2,0,4,1,1,0.66,0.5909,0.89,0.194,1,7,8,66
4398,2011-07-07,3,0,7,3,0,4,1,1,0.64,0.5606,0.94,0.1045,2,2,4,231
4399,2011-07-07,3,0,7,4,0,4,1,1,0.64,0.5758,,0.1045,0,4,4,994
4400,2011-07-07,3,0,7,5,0,4,1,1,0.64,0.5758,0.89,0.1045,2,30,32,740
4401,2011-07-07,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,11,107,118,457
4402,2011-07-07,3,0,7,7,0,4,1,2,0.66,0.5909,0.89,0.1045,13,279,292,984
4403,2011-07-07,3,0,7,8,0,4,1,2,,0.6667,0.79,0.194,28,415,443,
127716,,3,0,7,9,0,4,1,1,0.74,0.697,0.7,0.1642,25,154,179,246
4405,2011-07-07,3,0,7,10,0,4,1,1,0.78,0.7424,,0.0,29,72,101,646
4406,2011-07-07,3,0,7,11,0,4,1,1,,0.7727,0.52,0.1343,30,112,142,
4407,2011-07-07,3,0,7,12,0,4,1,1,0.84,0.7727,0.41,0.0,32,139,171,932
4408,2011-07-07,3,0,7,13,0,4,1,1,0.86,0.7879,0.41,0.0,48,107,155,255
4409,2011-07-07,3,0,7,14,0,3,1,1,0.86,0.7879,0.41,0.2537,39,121,,173
4410,2011-07-07,3,0,7,15,0,4,1,1,0.86,0.7879,0.41,0.2537,47,119,166,564
4411,2011-07-07,3,0,7,16,0,4,1,1,0.86,0.7727,0.39,0.2239,47,218,265,636
4412,2011-07-07,3,0,7,17,0,4,1,1,0.86,0.7576,673.36,0.2537,80,489,569,920
4413,2011-07-07,3,0,7,18,0,4,1,1,0.84,0.7576,0.44,0.2985,275,492,562,86
4414,2011-07-07,3,0,7,19,0,4,1,1,0.82,0.7727,0.52,0.2836,213,286,365,531
4415,2011-07-07,3,0,7,20,0,4,1,1,0.76,0.7121,0.58,0.3582,61,224,285,855
,2011-07-07,3,0,7,21,0,4,1,1,0.74,0.6818,0.62,0.1642,39,170,209,807
4417,2011-07-07,3,0,7,22,0,4,1,1,0.74,0.6818,0.62,0.1642,32,150,182,296
4418,2011-07-07,3,0,7,23,0,4,1,1,0.72,0.6818,0.66,0.0,31,98,129,
4419,2011-07-08,3,0,7,0,0,5,1,1,0.74,0.697,0.66,0.1045,6,41,47,875
4420,2011-07-08,3,0,7,1,0,5,1,1,0.72,0.697,0.79,0.0,9,25,34,494
4421,2011-07-08,3,0,7,2,0,5,1,2,0.7,0.6667,0.74,0.1642,10,12,22,588
4422,2011-07-08,3,0,7,3,0,5,1,,0.68,0.6364,0.79,0.1045,2,4,6,11
4423,2011-07-08,3,0,7,4,0,5,1,1,0.7,0.6667,0.79,,7,4,11,622
4424,2011-07-08,3,0,7,,0,5,1,1,0.68,0.6364,0.79,0.2537,3,24,27,
4425,2011-07-08,3,0,7,6,0,5,1,1,0.7,0.6667,0.74,0.1045,11,91,102,
4426,2011-07-08,3,0,7,7,0,5,1,2,0.7,0.6667,0.79,0.194,30,302,332,717
4427,2011-07-08,3,0,7,8,0,5,1,2,0.72,0.697,0.74,0.2537,36,421,457,554
,2011-07-08,3,0,7,9,0,5,1,2,0.76,0.7273,0.7,0.2985,30,211,241,654
4429,2011-07-08,3,0,7,10,0,5,1,2,0.74,0.697,0.7,0.3582,30,108,138,509
4430,2011-07-08,3,0,7,11,0,5,1,2,0.74,0.7121,0.74,0.2537,61,104,165,26
4431,2011-07-08,3,0,7,12,0,5,1,2,0.76,0.7273,0.7,0.2836,49,164,213,
4432,2011-07-08,3,0,7,13,0,5,1,2,0.78,0.7576,0.66,0.2836,54,175,229,
4433,2011-07-08,3,0,7,14,0,5,1,2,0.8,0.7879,0.63,0.3582,53,163,216,963
4434,2011-07-08,3,0,7,15,0,5,1,2,0.8,0.7879,0.63,0.3582,39,102,141,
4435,2011-07-08,3,0,7,16,0,5,1,3,0.68,26.7288,0.83,0.4478,27,105,132,570
4436,2011-07-08,3,0,7,17,0,5,1,3,0.66,0.5909,0.89,0.4478,6,161,167,
4437,2011-07-08,3,0,7,18,0,5,1,1,0.66,0.6061,0.83,0.0896,35,281,316,
4438,2011-07-08,3,0,7,19,0,5,1,1,0.66,0.6061,0.83,0.0896,45,225,1192,570
4439,2011-07-08,3,0,7,20,0,5,1,81,0.66,0.6061,68.89,0.1642,30,220,250,
4440,2011-07-08,3,0,7,21,0,5,1,2,0.66,0.6061,0.83,0.2537,46,158,204,
4441,2011-07-08,3,0,7,22,0,5,1,2,0.66,0.6061,0.78,0.194,33,136,169,
4442,2011-07-08,3,0,7,23,0,5,1,2,0.66,0.6061,0.78,0.0896,40,111,151,114
4443,2011-07-09,3,0,7,0,0,6,0,2,0.66,0.6061,51.46,0.1343,,90,121,188
4444,2011-07-09,3,0,7,1,0,6,0,2,0.64,0.5758,0.89,0.1045,5,48,53,899
4445,2011-07-09,3,0,7,2,0,6,0,1,0.64,0.5758,0.89,0.1642,12,43,55,275
4446,2011-07-09,3,0,7,3,0,6,0,1,0.64,0.5758,0.89,0.1343,7,23,30,
4447,2011-07-09,3,0,7,4,0,6,0,1,0.64,0.5758,0.83,0.2239,2,4,,
4448,2011-07-09,3,0,7,5,0,6,0,2,0.62,0.5606,0.88,0.1642,4,11,15,977
4449,2011-07-09,3,0,7,6,0,6,0,2,0.64,0.5758,0.83,0.194,11,27,38,
4450,2011-07-09,3,0,7,7,0,6,0,1,0.66,0.6061,0.78,0.194,21,50,71,822
4451,2011-07-09,3,0,7,8,0,6,0,1,0.7,0.6515,0.7,0.2537,68,114,182,411
4452,2011-07-09,3,0,7,9,0,6,0,1,0.74,0.6818,0.58,0.2836,77,170,247,94
4453,2011-07-09,3,0,7,10,0,6,0,1,0.76,0.697,0.52,0.1642,87,177,264,611
4454,2011-07-09,3,0,7,11,0,6,0,1,0.78,0.697,0.46,0.2985,101,189,290,767
4455,2011-07-09,3,0,7,12,0,6,0,1,0.8,0.7273,0.46,0.2537,145,221,366,826
4456,2011-07-09,3,0,7,13,0,6,0,1,0.82,0.7424,0.41,0.2239,167,249,416,
4457,2011-07-09,3,0,7,14,0,6,0,1,0.84,0.7424,0.36,0.1343,158,215,373,357
4458,2011-07-09,3,0,7,15,0,6,0,1,,0.7273,0.34,0.0896,182,220,402,
4459,2011-07-09,3,0,7,16,0,6,0,1,0.82,0.7273,0.38,0.0,171,245,416,7
4460,2011-07-09,3,0,7,17,0,6,0,1,0.84,0.7273,0.32,0.0,160,241,401,871
4461,2011-07-09,3,0,7,18,0,6,0,1,0.82,0.7273,0.36,0.1045,132,246,378,482
4462,2011-07-09,3,0,7,19,0,5,0,1,0.76,0.697,0.55,0.1642,128,178,306,151
4463,2011-07-09,3,0,7,20,0,6,0,1,0.76,0.7121,0.58,0.2239,129,185,314,
4464,2011-07-09,3,0,7,21,0,6,0,1,0.74,0.6818,0.58,0.1642,83,155,238,571
4465,2011-07-09,3,0,7,22,0,5,0,1,0.72,0.6818,0.62,0.1642,60,154,214,58
4466,2011-07-09,3,0,7,23,0,5,0,1,0.72,0.6667,0.58,0.194,47,93,140,274
4467,2011-07-10,3,0,7,0,0,0,0,1,0.7,0.6515,0.61,0.1642,42,112,154,189
4468,2011-07-10,3,0,7,,0,0,0,1,0.7,0.6515,0.61,0.1343,19,94,113,848
4469,2011-07-10,3,0,7,2,0,0,0,1,0.68,0.6364,0.69,0.0896,28,68,96,
4470,2011-07-10,3,0,7,3,0,0,0,1,0.66,0.6212,0.74,0.0896,6,19,25,
4471,2011-07-10,3,0,7,4,0,0,0,1,0.66,0.6212,0.69,0.0896,0,5,5,
4472,2011-07-10,3,0,7,5,0,0,0,1,0.66,0.6212,0.74,0.0,7,10,17,
4473,2011-07-10,3,0,7,6,0,0,0,1,0.64,0.5909,0.78,0.0896,8,17,25,521
4474,2011-07-10,3,0,7,7,0,0,0,1,0.7,0.6515,0.7,0.0896,27,38,65,233
4475,2011-07-10,3,0,7,,0,0,0,1,0.72,0.6818,0.66,0.0,27,65,92,595
4476,2011-07-10,3,0,7,9,0,0,0,1,0.74,0.697,0.66,0.0896,62,,169,
4477,2011-07-10,3,0,7,10,0,0,0,1,0.76,0.697,0.55,0.1343,95,173,268,293
4478,2011-07-10,3,0,7,11,0,0,0,1,0.78,0.7273,0.55,0.194,110,177,287,935
4479,2011-07-10,3,0,7,12,0,0,0,1,0.82,0.7576,0.46,0.2836,133,244,377,
4480,2011-07-10,3,0,7,13,0,0,0,1,0.8,0.7273,0.46,0.2985,139,228,367,
4481,2011-07-10,3,0,7,14,0,0,0,1,0.82,0.7424,0.41,0.3284,122,227,349,279
4482,2011-07-10,3,0,7,15,0,0,0,1,0.84,0.7424,0.39,0.2836,142,219,361,604
4483,2011-07-10,3,0,7,16,0,0,0,1,0.84,0.7576,0.41,0.2836,128,244,372,913
4484,2011-07-10,3,0,7,17,0,0,0,1,0.84,0.7424,0.36,0.2239,146,217,363,
4485,2011-07-10,3,0,7,18,0,0,0,1,0.82,0.7424,0.43,0.2836,141,,363,121
